Date Time, Water Level, Sigma, I, L 
2018-01-01 00:00,1.103,0.036,0,0
2018-01-01 01:00,0.949,0.033,0,0
2018-01-01 02:00,0.819,0.037,0,0
2018-01-01 03:00,0.794,0.025,0,0
2018-01-01 04:00,0.915,0.030,0,0
2018-01-01 05:00,1.165,0.031,0,0
2018-01-01 06:00,1.473,0.038,0,0
2018-01-01 07:00,1.832,0.030,0,0
2018-01-01 08:00,2.092,0.041,0,0
2018-01-01 09:00,2.155,0.032,0,0
2018-01-01 10:00,2.027,0.037,0,0
2018-01-01 11:00,1.689,0.028,0,0
2018-01-01 12:00,1.206,0.031,0,0
2018-01-01 13:00,0.660,0.032,0,0
2018-01-01 14:00,0.144,0.029,0,0
2018-01-01 15:00,-0.213,0.025,0,0
2018-01-01 16:00,-0.391,0.021,0,0
2018-01-01 17:00,-0.333,0.016,0,0
2018-01-01 18:00,-0.076,0.015,0,0
2018-01-01 19:00,0.276,0.046,0,0
2018-01-01 20:00,0.678,0.031,0,0
2018-01-01 21:00,1.042,0.034,0,0
2018-01-01 22:00,1.279,0.031,0,0
2018-01-01 23:00,1.359,0.035,0,0
2018-01-02 00:00,1.293,0.039,0,0
2018-01-02 01:00,1.136,0.035,0,0
2018-01-02 02:00,0.966,0.039,0,0
2018-01-02 03:00,0.852,0.047,0,0
2018-01-02 04:00,0.854,0.036,0,0
2018-01-02 05:00,0.983,0.032,0,0
2018-01-02 06:00,1.239,0.044,0,0
2018-01-02 07:00,1.594,0.046,0,0
2018-01-02 08:00,1.926,0.041,0,0
2018-01-02 09:00,2.127,0.050,0,0
2018-01-02 10:00,2.190,0.044,0,0
2018-01-02 11:00,2.000,0.045,0,0
2018-01-02 12:00,1.625,0.044,0,0
2018-01-02 13:00,1.077,0.042,0,0
2018-01-02 14:00,0.521,0.052,0,0
2018-01-02 15:00,0.044,0.033,0,0
2018-01-02 16:00,-0.305,0.025,0,0
2018-01-02 17:00,-0.446,0.029,0,0
2018-01-02 18:00,-0.324,0.023,0,0
2018-01-02 19:00,-0.037,0.024,0,0
2018-01-02 20:00,0.351,0.030,0,0
2018-01-02 21:00,0.801,0.037,0,0
2018-01-02 22:00,1.146,0.043,0,0
2018-01-02 23:00,1.361,0.047,0,0
2018-01-03 00:00,1.460,0.050,0,0
2018-01-03 01:00,1.358,0.047,0,0
2018-01-03 02:00,1.162,0.055,0,0
2018-01-03 03:00,0.966,0.043,0,0
2018-01-03 04:00,0.847,0.039,0,0
2018-01-03 05:00,0.879,0.045,0,0
2018-01-03 06:00,1.018,0.051,0,0
2018-01-03 07:00,1.322,0.047,0,0
2018-01-03 08:00,1.629,0.053,0,0
2018-01-03 09:00,1.963,0.047,0,0
2018-01-03 10:00,2.128,0.065,0,0
2018-01-03 11:00,2.141,0.045,0,0
2018-01-03 12:00,1.941,0.053,0,0
2018-01-03 13:00,1.507,0.053,0,0
2018-01-03 14:00,1.045,0.043,0,0
2018-01-03 15:00,0.545,0.047,0,0
2018-01-03 16:00,0.041,0.034,0,0
2018-01-03 17:00,-0.283,0.025,0,0
2018-01-03 18:00,-0.305,0.026,0,0
2018-01-03 19:00,-0.178,0.031,0,0
2018-01-03 20:00,0.128,0.037,0,0
2018-01-03 21:00,0.543,0.059,0,0
2018-01-03 22:00,0.964,0.057,0,0
2018-01-03 23:00,1.288,0.070,0,0
2018-01-04 00:00,1.434,0.056,0,0
2018-01-04 01:00,1.528,0.090,0,0
2018-01-04 02:00,1.400,0.100,0,0
